unicode	name	count
1f602	"face with tears of joy"	2469042098
2764	"heavy black heart"	1187108930
267b	"black universal recycling symbol"	963342774
1f60d	"smiling face with heart-shaped eyes"	900035677
1f62d	"loudly crying face"	728680997
2665	"black heart suit"	719165336
1f60a	"smiling face with smiling eyes"	599117226
1f612	"unamused face"	487550965
1f495	"two hearts"	470200276
1f618	"face throwing a kiss"	453513564
1f629	"weary face"	409331071
263a	"white smiling face"	376154606
1f614	"pensive face"	349465319
1f44c	"ok hand sign"	348318231
1f601	"grinning face with smiling eyes"	339663863
1f60f	"smirking face"	322796978
1f609	"winking face"	286795557
1f44d	"thumbs up sign"	249064384
1f605	"smiling face with open mouth and cold sweat"	232088624
2b05	"leftwards black arrow"	228302672
1f64f	"person with folded hands"	225621821
1f60c	"relieved face"	222684685
1f440	"eyes"	222023777
1f622	"crying face"	221785681
1f494	"broken heart"	217674999
1f60e	"smiling face with sunglasses"	215166912
1f3b6	"multiple musical notes"	208871034
1f499	"blue heart"	196901628
1f49c	"purple heart"	193154885
1f64c	"person raising both hands in celebration"	186139191
1f633	"flushed face"	184615306
2728	"sparkles"	184240496
1f496	"sparkling heart"	174294871
1f648	"see-no-evil monkey"	172923427
1f4af	"hundred points symbol"	170688310
1f525	"fire"	170032273
270c	"victory hand"	162925801
1f604	"smiling face with open mouth and smiling eyes"	157219137
1f634	"sleeping face"	156991233
1f611	"expressionless face"	156003475
1f60b	"face savouring delicious food"	145777305
1f61c	"face with stuck-out tongue and winking eye"	142552774
1f615	"confused face"	139147138
1f61e	"disappointed face"	138619649
1f62a	"sleepy face"	137754157
1f497	"growing heart"	131550680
1f44f	"clapping hands sign"	129352004
1f610	"neutral face"	127802193
1f449	"white right pointing backhand index"	125986380
1f49e	"revolving hearts"	119747574
1f498	"heart with arrow"	115648822
1f4f7	"camera"	113443103
1f631	"face screaming in fear"	111136596
1f49b	"yellow heart"	108165689
1f339	"rose"	106198046
1f481	"information desk person"	104234334
1f338	"cherry blossom"	104131878
1f48b	"kiss mark"	103460274
1f621	"pouting face"	99900190
1f480	"skull"	99401899
1f64a	"speak-no-evil monkey"	98501122
1f606	"smiling face with open mouth and tightly-closed eyes"	97587031
1f600	"grinning face"	96288565
1f608	"smiling face with horns"	95629151
1f389	"party popper"	93583654
1f4aa	"flexed biceps"	92393428
1f603	"smiling face with open mouth"	92058723
270b	"raised hand"	90965913
1f62b	"tired face"	88728764
25b6	"black right-pointing triangle"	87277461
1f49a	"green heart"	84572305
1f624	"face with look of triumph"	84019550
1f61d	"face with stuck-out tongue and tightly-closed eyes"	83971739
1f493	"beating heart"	82420396
1f31a	"new moon with face"	81647747
1f44a	"fisted hand sign"	78425700
2714	"heavy check mark"	75303077
27a1	"black rightwards arrow"	75028716
1f623	"persevering face"	74278026
2600	"black sun with rays"	74053913
1f613	"face with cold sweat"	73823681
1f63b	"smiling cat face with heart-shaped eyes"	72235517
1f607	"smiling face with halo"	71631966
1f62c	"grimacing face"	67443906
1f625	"disappointed but relieved face"	66496254
2705	"white heavy check mark"	66415014
1f448	"white left pointing backhand index"	65309005
1f61b	"face with stuck-out tongue"	63139906
1f637	"face with medical mask"	61144431
1f61a	"kissing face with closed eyes"	61026965
1f451	"crown"	60498382
1f44b	"waving hand sign"	59039881
1f447	"white down pointing backhand index"	57340701
1f534	"large red circle"	52186496
1f3a7	"headphone"	52041913
1f636	"face without mouth"	49272024
1f616	"confounded face"	48932059
1f620	"angry face"	48729511
1f31f	"glowing star"	48107122
1f3b5	"musical note"	46820338
1f4a5	"collision symbol"	44451102
1f4ab	"dizzy symbol"	43226681
1f64b	"happy person raising one hand"	42857667
1f483	"dancer"	42683202
0031-20e3	"keycap 1"	40961479
1f44e	"thumbs down sign"	40743071
0032-20e3	"keycap 2"	39563736
203c	"double exclamation mark"	38460905
1f445	"tongue"	37706505
26a1	"high voltage sign"	37365674
1f52b	"pistol"	37207431
2708	"airplane"	37095609
26bd	"soccer ball"	36940052
270a	"raised fist"	36371887
1f630	"face with open mouth and cold sweat"	36237806
1f4a9	"pile of poo"	36117986
1f639	"cat face with tears of joy"	35920853
00a9	"copyright sign"	35310293
1f4a6	"splashing sweat symbol"	35244918
1f4ad	"thought balloon"	35181819
1f31e	"sun with face"	35158237
21aa	"rightwards arrow with hook"	35066448
2b50	"white medium star"	34433418
1f343	"leaf fluttering in wind"	33939796
1f48e	"gem stone"	32700629
21a9	"leftwards arrow with hook"	31736114
25c0	"black left-pointing triangle"	30606404
1f388	"balloon"	30508885
1f47b	"ghost"	30032517
1f340	"four leaf clover"	29880955
1f646	"face with ok gesture"	29650265
1f645	"face with no good gesture"	29640032
1f4a4	"sleeping symbol"	29126957
1f3a4	"microphone"	28204246
1f61f	"worried face"	28064605
1f33a	"hibiscus"	27789476
1f355	"slice of pizza"	27724971
1f51e	"no one under eighteen symbol"	27499779
1f628	"fearful face"	27461231
1f3a5	"movie camera"	26530809
1f619	"kissing face with smiling eyes"	26272922
274c	"cross mark"	26257278
2757	"heavy exclamation mark symbol"	26227425
1f4b0	"money bag"	25730630
2744	"snowflake"	25049444
1f490	"bouquet"	24980759
2611	"ballot box with check"	24922099
1f308	"rainbow"	24898622
1f319	"crescent moon"	24770544
261d	"white up pointing index"	24661594
1f380	"ribbon"	24569879
1f37b	"clinking beer mugs"	24456749
1f337	"tulip"	24448798
1f384	"christmas tree"	24290761
1f62e	"face with open mouth"	24220400
2615	"hot beverage"	24201517
1f6b6	"pedestrian"	23837653
1f334	"palm tree"	23704863
1f450	"open hands sign"	23065058
1f33b	"sunflower"	22758526
1f381	"wrapped present"	22439437
1f382	"birthday cake"	22396804
1f3c6	"trophy"	22382931
2601	"cloud"	22357913
1f1fa-1f1f8	"regional indicator symbol letters us"	22272980
1f427	"penguin"	22064550
1f627	"anguished face"	22035467
1f49d	"heart with ribbon"	21712384
1f47d	"extraterrestrial alien"	21663171
1f436	"dog face"	21586431
1f485	"nail polish"	21529762
260e	"black telephone"	21337124
1f49f	"heart decoration"	21073241
1f647	"person bowing deeply"	20854494
1f632	"astonished face"	20745695
1f33f	"herb"	20191476
1f342	"fallen leaf"	19653812
1f4b8	"money with wings"	19204169
1f30e	"earth globe americas"	19201493
1f47c	"baby angel"	19134602
1f62f	"hushed face"	18982433
1f635	"dizzy face"	18740644
1f46f	"woman with bunny ears"	18702860
1f30d	"earth globe europe-africa"	18234734
1f3c3	"runner"	17904360
1f680	"rocket"	17556710
1f4f9	"video camera"	17534526
1f3c0	"basketball and hoop"	17522865
2663	"black club suit"	17491591
1f33c	"blossom"	17271055
2668	"hot springs"	16932907
1f431	"cat face"	16932742
1f31d	"full moon with face"	16868697
1f446	"white up pointing backhand index"	16427018
1f341	"maple leaf"	16092229
2716	"heavy multiplication x"	15812693
26a0	"warning sign"	15805895
1f63f	"crying cat face"	15478445
1f4a8	"dash symbol"	15281687
2693	"anchor"	15188835
1f38a	"confetti ball"	15168299
1f46b	"man and woman holding hands"	15147118
1f4de	"telephone receiver"	15018110
1f3bc	"musical score"	14955086
1f48c	"love letter"	14918968
1f48d	"ring"	14858552
1f30a	"water wave"	14367285
1f335	"cactus"	14333394
1f4f2	"mobile phone with rightwards arrow at left"	13909134
1f6a8	"police cars revolving light"	13697555
2b07	"downwards black arrow"	13240031
1f4f1	"mobile phone"	13215781
1f48f	"kiss"	13186322
23e9	"black right-pointing double triangle"	13147477
1f3ac	"clapper board"	13130239
1f51d	"top with upwards arrow above"	12875625
1f444	"mouth"	12868662
1f649	"hear-no-evil monkey"	12858979
1f46d	"two women holding hands"	12816685
1f478	"princess"	12728962
1f626	"frowning face with open mouth"	12645650
1f4a3	"bomb"	12606992
1f4e2	"public address loudspeaker"	12523751
1f437	"pig face"	12354414
1f4fa	"television"	12127456
1f351	"peach"	11929976
2614	"umbrella with rain drops"	11928146
1f47f	"imp"	11808271
1f486	"face massage"	11760978
1f430	"rabbit face"	11680696
1f52a	"hocho"	11540272
1f50a	"speaker with three sound waves"	11502154
2660	"black spade suit"	11461779
1f617	"kissing face"	11443121
1f41d	"honeybee"	11400795
1f4cd	"round pushpin"	11297764
1f3c8	"american football"	10913174
1f535	"large blue circle"	10896888
1f63d	"kissing cat face with closed eyes"	10889967
1f491	"couple with heart"	10639789
1f30f	"earth globe asia-australia"	10632402
1f353	"strawberry"	10626991
1f538	"small orange diamond"	10557888
1f385	"father christmas"	10511534
1f638	"grinning cat face with smiling eyes"	10475218
1f36d	"lollipop"	10470828
1f37a	"beer mug"	10442134
1f3af	"direct hit"	10337274
1f377	"wine glass"	10324359
1f410	"goat"	10318911
1f4a2	"anger symbol"	10314641
1f4cc	"pushpin"	10058892
1f369	"doughnut"	10054409
1f64d	"person frowning"	9971467
1f346	"aubergine"	9892864
1f352	"cherries"	9891158
2666	"black diamond suit"	9882821
1f43c	"panda face"	9800009
1f3b8	"guitar"	9749502
1f300	"cyclone"	9745074
1f640	"weary cat face"	9710564
1f40d	"snake"	9701966
1f35f	"french fries"	9674077
1f4e3	"cheering megaphone"	9662787
1f63c	"cat face with wry smile"	9608697
1f43e	"paw prints"	9522914
2b55	"heavy large circle"	9478470
1f4ac	"speech balloon"	9390888
1f438	"frog face"	9296356
1f383	"jack-o-lantern"	9160248
1f34c	"banana"	9149292
1f3ae	"video game"	9128480
1f476	"baby"	9041328
1f331	"seedling"	9039403
1f197	"squared ok"	9002852
1f6ae	"put litter in its place symbol"	8986967
1f43b	"bear face"	8917856
1f4dd	"memo"	8865032
1f349	"watermelon"	8769270
1f696	"oncoming taxi"	8729074
1f4da	"books"	8643918
1f697	"automobile"	8617198
26c4	"snowman without snow"	8462618
1f1eb-1f1f7	"regional indicator symbol letters fr"	8444234
1f539	"small blue diamond"	8399286
1f52e	"crystal ball"	8382540
1f423	"hatching chick"	8220370
1f374	"fork and knife"	8214239
1f6ac	"smoking symbol"	8197345
1f33e	"ear of rice"	8145826
25aa	"black small square"	8138103
1f463	"footprints"	8129930
26c5	"sun behind cloud"	8081718
1f379	"tropical drink"	8061410
1f42f	"tiger face"	7901360
1f469	"woman"	7871380
1f4a1	"electric light bulb"	7774160
2122	"trade mark sign"	7744875
1f36b	"chocolate bar"	7742451
1f30c	"milky way"	7738882
1f6ab	"no entry sign"	7569846
1f422	"turtle"	7568774
1f4bb	"personal computer"	7525780
1f63a	"smiling cat face with open mouth"	7454346
23f0	"alarm clock"	7383716
1f3e1	"house with garden"	7352922
1f425	"front-facing baby chick"	7293408
1f354	"hamburger"	7267221
2194	"left right arrow"	7199880
1f489	"syringe"	7157889
1f47e	"alien monster"	7146577
1f370	"shortcake"	7097120
1f468	"man"	7065308
00ae	"registered sign"	7055281
1f6c3	"customs"	7049906
1f366	"soft ice cream"	7034021
1f4fb	"radio"	7031027
1f192	"squared cool"	6997346
1f4a7	"droplet"	6892536
0033-20e3	"keycap 3"	6869583
1f36c	"candy"	6833240
26be	"baseball"	6821976
1f378	"cocktail glass"	6809885
1f1ec-1f1e7	"regional indicator symbol letters gb"	6748688
1f347	"grapes"	6693859
1f34d	"pineapple"	6627794
1f479	"japanese ogre"	6576577
270f	"pencil"	6545441
1f484	"lipstick"	6475821
1f419	"octopus"	6447627
2702	"black scissors"	6423039
1f3e0	"house building"	6420712
1f467	"girl"	6412926
1f36a	"cookie"	6321371
1f34e	"red apple"	6283688
1f433	"spouting whale"	6260829
1f517	"link symbol"	6259526
2935	"arrow pointing rightwards then curving downwards"	6187330
1f4b5	"banknote with dollar sign"	6136817
2753	"black question mark ornament"	6108764
1f412	"monkey"	6082845
1f393	"graduation cap"	6082235
1f511	"key"	6060585
1f48a	"pill"	6040572
1f320	"shooting star"	5934895
26aa	"medium white circle"	5934632
1f4d6	"open book"	5862465
1f34a	"tangerine"	5797733
1f1ee-1f1f9	"regional indicator symbol letters it"	5792170
1f4d5	"closed book"	5781679
26ab	"medium black circle"	5704556
1f193	"squared free"	5702501
1f4bf	"optical disc"	5686230
1f514	"bell"	5675861
1f386	"fireworks"	5659909
1f42c	"dolphin"	5657792
1f459	"bikini"	5652517
1f198	"squared sos"	5602120
1f503	"clockwise downwards and upwards open circle arrows"	5555367
1f1ea-1f1f8	"regional indicator symbol letters es"	5473847
1f460	"high-heeled shoe"	5456090
1f3e8	"hotel"	5218041
1f63e	"pouting cat face"	5203220
1f426	"bird"	5067858
1f466	"boy"	5008742
1f4e5	"inbox tray"	4998923
1f3c1	"chequered flag"	4980210
1f344	"mushroom"	4945851
1f3a8	"artist palette"	4922319
1f418	"elephant"	4878340
264b	"cancer"	4872184
0034-20e3	"keycap 4"	4859645
1f305	"sunrise"	4827342
23ec	"black down-pointing double triangle"	4820332
1f3ad	"performing arts"	4814601
1f537	"large blue diamond"	4769079
2b06	"upwards black arrow"	4658195
1f34b	"lemon"	4653531
1f3ca	"swimmer"	4629803
2198	"south east arrow"	4624451
1f501	"clockwise rightwards and leftwards open circle arrows"	4588085
1f510	"closed lock with key"	4573763
1f332	"evergreen tree"	4567146
1f519	"back with leftwards arrow above"	4506778
2709	"envelope"	4484253
1f536	"large orange diamond"	4481932
1f303	"night with stars"	4478241
1f698	"oncoming automobile"	4467133
1f53b	"down-pointing red triangle"	4462192
231a	"watch"	4394824
1f6a6	"vertical traffic light"	4364112
1f46a	"family"	4343972
1f357	"poultry leg"	4327007
1f457	"dress"	4307474
1f306	"cityscape at dusk"	4290818
1f482	"guardsman"	4290226
1f41f	"fish"	4271104
1f435	"monkey face"	4240738
1f51c	"soon with rightwards arrow above"	4204086
23ea	"black left-pointing double triangle"	4167621
2197	"north east arrow"	4124705
1f195	"squared new"	4112541
1f43a	"wolf face"	4104903
1f453	"eyeglasses"	4100264
2195	"up down arrow"	4094043
1f487	"haircut"	4021308
2733	"eight spoked asterisk"	4008396
26d4	"no entry"	3968858
1f1e9-1f1ea	"regional indicator symbol letters de"	3946007
0035-20e3	"keycap 5"	3938541
1f5ff	"moyai"	3920563
2049	"exclamation question mark"	3886108
1f37c	"baby bottle"	3868359
1f31b	"first quarter moon with face"	3838770
1f53a	"up-pointing red triangle"	3825890
1f3a9	"top hat"	3767263
1f3be	"tennis racquet and ball"	3757334
1f333	"deciduous tree"	3749667
1f4c8	"chart with upwards trend"	3747681
1f4e9	"envelope with downwards arrow above"	3739965
2755	"white exclamation mark ornament"	3738727
1f45f	"athletic shoe"	3686056
1f47a	"japanese goblin"	3671586
1f315	"full moon symbol"	3646310
1f46c	"two men holding hands"	3631779
1f6c5	"left luggage"	3630025
1f367	"shaved ice"	3598971
1f43d	"pig nose"	3581032
1f475	"older woman"	3578476
1f64e	"person with pouting face"	3572796
1f420	"tropical fish"	3572265
1f199	"squared up with exclamation mark"	3566403
1f6a9	"triangular flag on post"	3545321
1f311	"new moon symbol"	3545000
1f415	"dog"	3531442
1f442	"ear"	3513145
1f470	"bride with veil"	3503147
1f35d	"spaghetti"	3479328
1f19a	"squared vs"	3462150
1f4f0	"newspaper"	3461577
1f518	"radio button"	3443504
1f31c	"last quarter moon with face"	3414150
1f434	"horse face"	3371207
26fd	"fuel pump"	3370984
26f3	"flag in hole"	3333620
1f387	"firework sparkler"	3331613
2650	"sagittarius"	3326478
1f373	"cooking"	3321888
1f35c	"steaming bowl"	3308974
1f504	"anticlockwise downwards and upwards open circle arrows"	3268683
2734	"eight pointed black star"	3265108
1f34f	"green apple"	3239445
1f4c6	"tear-off calendar"	3229976
1f50e	"right-pointing magnifying glass"	3229766
1f428	"koala"	3218176
1f443	"nose"	3217310
1f414	"chicken"	3202113
1f464	"bust in silhouette"	3195405
1f455	"t-shirt"	3161917
2747	"sparkle"	3155694
1f456	"jeans"	3122657
1f408	"cat"	3109856
1f375	"teacup without handle"	3103258
1f310	"globe with meridians"	3100037
1f365	"fish cake with swirl design"	3096728
1f36f	"honey pot"	3085355
2199	"south west arrow"	3024762
1f50d	"left-pointing magnifying glass"	3004764
1f33d	"ear of maize"	2991286
1f439	"hamster face"	2941705
1f42d	"mouse face"	2934145
1f35e	"bread"	2925788
23f3	"hourglass with flowing sand"	2919198
1f42e	"cow face"	2903855
24c2	"circled latin capital letter m"	2899250
1f41b	"bug"	2892697
3299	"circled ideograph secret"	2882857
1f1ef-1f1f5	"regional indicator symbol letters jp"	2863100
1f6bf	"shower"	2861864
0030-20e3	"keycap 0"	2859834
1f409	"dragon"	2846603
1f390	"wind chime"	2839053
1f699	"recreational vehicle"	2825756
3030	"wavy dash"	2810652
1f474	"older man"	2807117
1f40e	"horse"	2796929
1f512	"lock"	2795041
2796	"heavy minus sign"	2782698
1f4e1	"satellite antenna"	2764025
2795	"heavy plus sign"	2749756
1f4e6	"package"	2747942
1f363	"sushi"	2741262
1f4a0	"diamond shape with a dot inside"	2733966
1f46e	"police officer"	2724166
1f411	"sheep"	2687216
1f473	"man with turban"	2680653
1f6b2	"bicycle"	2676593
1f345	"tomato"	2661613
2934	"arrow pointing rightwards then curving upwards"	2643740
1f50b	"battery"	2641249
1f424	"baby chick"	2634376
1f4c5	"calendar"	2622210
1f4b2	"heavy dollar sign"	2617626
1f40b	"whale"	2617081
1f465	"busts in silhouette"	2611419
1f50c	"electric plug"	2598193
2196	"north west arrow"	2587275
27b0	"curly loop"	2581237
1f531	"trident emblem"	2572683
1f407	"rabbit"	2560054
1f506	"high brightness symbol"	2536487
1f3c4	"surfer"	2516609
1f41e	"lady beetle"	2505838
1f53d	"down-pointing small red triangle"	2487943
1f304	"sunrise over mountains"	2487464
2652	"aquarius"	2445243
2648	"aries"	2430107
1f413	"rooster"	2429953
2712	"black nib"	2414586
1f3a3	"fishing pole and fish"	2414519
1f170	"negative squared latin capital letter a"	2391978
231b	"hourglass"	2390197
1f51b	"on with exclamation mark with left right arrow above"	2364110
1f3b9	"musical keyboard"	2356530
1f371	"bento box"	2327530
264f	"scorpius"	2323235
1f368	"ice cream"	2319795
2649	"taurus"	2314931
1f312	"waxing crescent moon symbol"	2305612
1f40a	"crocodile"	2305367
1f171	"negative squared latin capital letter b"	2300115
1f6bc	"baby symbol"	2292221
1f6ba	"womens symbol"	2286714
1f35a	"cooked rice"	2282378
1f3bb	"violin"	2261451
303d	"part alternation mark"	2248521
1f471	"person with blond hair"	2208969
3297	"circled ideograph congratulation"	2204933
1f513	"open lock"	2199914
1f4ae	"white flower"	2193771
1f364	"fried shrimp"	2166168
1f313	"first quarter moon symbol"	2150955
1f492	"wedding"	2146926
1f3b2	"game die"	2144345
1f318	"waning crescent moon symbol"	2133887
1f68c	"bus"	2130918
1f1f7-1f1fa	"regional indicator symbol letters ru"	2130730
1f30b	"volcano"	2112876
26f5	"sailboat"	2107306
1f530	"japanese symbol for beginner"	2096063
